# ----------------------------------------
# Pages et écrans: Chemin de la page et classe de l'écran
# Compte : Getup Agency
# Propriété : Bricometal.shop
# ----------------------------------------
# 
# Tous les utilisateurs
# Date de début : 20260102
# Date de fin : 20260129
Chemin de la page et classe de l'écran,Vues,Utilisateurs actifs,Vues par utilisateur actif,Durée d'engagement moyenne par utilisateur actif,Nombre d'événements,Événements clés,Revenu total
/nouveautes/5870-portique-de-guidage-pour-portail-coulissant-fixation-au-sol-hauteur-max-reglable-2m.html,58,44,1.3181818181818181,37.13636363636363,292,0,0
/promotions/3036-plaque-de-guidage-pour-portail-avec-2-olives-o30mm-reglable-a-visser-0634065409593.html,58,35,1.6571428571428573,126.68571428571428,273,0,0
/serrures-a-code-mecanique/3571-serrure-a-code-mecanique-locinox-pour-profils-de-40-a-60mm-couleur-verte-5414768014103.html,58,38,1.5263157894736843,84.47368421052632,290,0,0
/316-gonds-portillon,57,24,2.375,53.458333333333336,142,0,0
/59-serrures-a-crochet,57,38,1.5,37.76315789473684,135,0,0
/85-boules,56,24,2.3333333333333335,40.458333333333336,140,0,0
/brand/123-india-france,56,13,4.3076923076923075,46.84615384615385,176,0,0
/gaches-portail-coulissant/5828-equerre-de-fixation-pour-gache-de-reception-de-portail-coulissant-compatible-reference-imp-md02b.html,56,34,1.6470588235294117,24.470588235294116,262,0,0
/378-gaches-polyamide-pour-portillons-jardin,55,39,1.4102564102564104,17.76923076923077,189,0,0
/38-serrures-economiques,55,34,1.6176470588235294,45.911764705882355,124,0,0
/479-gonds-pour-portails-en-bois,55,25,2.2,23.32,116,0,0
/accueil/2310-ferme-portes-et-portails-type-verin-tout-inox-reglable.html,55,36,1.5277777777777777,48.083333333333336,274,0,0
/promotions/3031-gond-reglable-pour-porte-et-portail-en-bois-m16-0634065409500.html,55,42,1.3095238095238095,37.61904761904762,277,0,0
/serie-800-4m-de-passage/4094-rail-pour-portail-autoportant-serie-800-fac-srl-6m-brut-8016504088149.html,54,38,1.4210526315789473,52.1578947368421,252,0,0
/121-fleurs,53,21,2.5238095238095237,60.904761904761905,136,0,0
/40-serie-900-4m-de-passage-inox,53,40,1.325,16.075,154,0,0
/432-kits-pour-portail-pliant,53,37,1.4324324324324325,36.16216216216216,143,0,0
/accessoires-en-pieces-detachees-radius/5563-roue-gorge-ronde-o16mm-amortie-a-ressort-non-pivotante-pour-portail-sectionnel-a-angle-radius-fac-8016504107567.html,52,32,1.625,44.5625,220,0,0
/182-panneaux-decor,51,37,1.3783783783783783,44.810810810810814,139,0,0
/311-serie-200-sans-rail-telescopique-ouverture-8m,51,28,1.8214285714285714,28.357142857142858,134,0,0
/plaques-de-guidage-superieur/394-plaque-de-guidage-a-jupe-percee-4-olives-o30-reglage-0-70-mm-8016504019976.html,51,19,2.6842105263157894,90.6842105263158,217,0,0
/120-cercles-anneaux-carres,50,26,1.9230769230769231,38.69230769230769,116,0,0
/84-motifs-decoratifs,50,34,1.4705882352941178,23.61764705882353,126,0,0
/bordures-defensives/1852-bordure-defensive-en-acier-galvanise-a-visser-60mm-de-hauteur-1500mm-de-longueur-epaisseur-2mm.html,50,31,1.6129032258064515,43,231,0,0
/kits-d-accessoires-radius-optimum/5777-kit-d-accessoires-pour-portail-coulissant-sectionnel-a-courbe-ouverture-de-250m-fac-radius-optimum-8017094117370.html,50,44,1.1363636363636365,34.65909090909091,207,0,0
/serie-800-4m-de-passage/4096-rail-pour-portail-autoportant-serie-800-fac-srl-6m-galvanise-8016504089375.html,50,35,1.4285714285714286,50.31428571428572,243,0,0
/serrures-pour-portillons-de-jardin/3476-serrure-pour-portillon-de-jardin-en-nylon-locinox-grise-pour-tube-40mm-entraxe-60mm-634065719883.html,50,41,1.2195121951219512,52.51219512195122,240,0,0
/verrous-targettes/833-verrou-de-sol-mecanique-automatique-a-ressort-pour-portail-porte-et-portillon-acier-galvanise-8016504050276.html,50,29,1.7241379310344827,65.03448275862068,228,0,0
/287-ornements-de-portails,49,35,1.4,25.885714285714286,120,0,0
/352-chariots-a-roues-pour-portail-lourd,49,27,1.8148148148148149,36.25925925925926,115,0,0
/plaques-de-guidage-superieur/397-plaque-de-guidage-pour-portail-coulissant-a-visser-reglable-avec-2-olives-o40mm-8016504069162.html,49,40,1.225,39.3,212,0,0
/serrures-a-encastrer/5746-serrure-a-encastrer-tout-inox-sixtylock-locinox-axe-de-40mm-pour-profils-de-60mm-5414768054482.html,49,21,2.3333333333333335,54.142857142857146,227,0,0
/produits-chimiques-fixation/5621-cartouche-de-resine-chimique-soc-300ml-2-canules-certifiee-ete-18-0137-et-norme-a-compatible-tous-materiaux-3509099920154.html,48,37,1.2972972972972974,71.48648648648648,246,0,0
/23-volutes-finies-a-chaud,47,22,2.1363636363636362,32.18181818181818,133,0,0
/50-pivots-a-bille,47,25,1.88,42.64,107,0,0
/fermes-portes/3544-ferme-portail-hydraulique-compact-lion-locinox-pour-tous-type-de-charniere-argente-5414768049419.html,47,36,1.3055555555555556,33.55555555555556,245,0,0
